Date,Open,High,Low,Close,Adj Close,Volume
2017-11-17,84.610001,85.290001,84.480003,85.110001,76.448753,549500
2017-11-20,85.220001,85.690002,85.129997,85.139999,76.475700,388200
2017-11-21,85.830002,86.199997,85.570000,85.599998,76.888893,230600
2017-11-22,86.050003,86.120003,85.510002,85.790001,77.059555,618300
2017-11-24,87.180000,87.309998,86.809998,87.099998,78.236237,174000
2017-11-27,87.000000,87.120003,86.480003,86.500000,77.697304,322900
2017-11-28,87.739998,87.779999,87.320000,87.599998,78.685356,230300
2017-11-29,87.019997,87.139999,86.120003,86.169998,77.400879,222100
2017-11-30,86.290001,86.309998,85.320000,85.410004,76.718224,449700
2017-12-01,85.830002,86.180000,85.650002,86.089996,77.329018,220800
2017-12-04,86.129997,86.139999,85.440002,85.510002,76.808052,451000
2017-12-05,86.260002,86.419998,85.470001,85.480003,76.781097,573000
2017-12-06,86.730003,87.239998,86.459999,86.639999,77.823051,1038100
2017-12-07,86.639999,86.699997,86.139999,86.160004,77.391907,272800
2017-12-08,85.860001,86.169998,85.739998,86.050003,77.293098,223000
2017-12-11,86.000000,86.029999,85.690002,85.709999,76.987694,373900
2017-12-12,85.760002,86.190002,85.660004,86.059998,77.302071,335200
2017-12-13,86.400002,86.889999,86.269997,86.669998,77.849998,233400
2017-12-14,86.260002,86.300003,85.809998,85.959999,77.212257,199200
2017-12-15,85.480003,85.589996,84.650002,85.230003,76.556541,435000
2017-12-18,85.230003,85.519997,85.110001,85.120003,76.457733,253200
2017-12-19,85.070000,85.220001,84.540001,84.660004,76.044548,478200
2017-12-20,84.309998,84.550003,83.690002,83.870003,75.334946,329500
2017-12-21,83.989998,84.599998,83.910004,84.410004,75.819984,380000
2017-12-22,84.620003,84.790001,84.389999,84.419998,75.828972,447900
2017-12-26,84.419998,84.720001,84.419998,84.559998,75.954720,166700
2017-12-27,85.150002,85.379997,84.970001,85.190002,76.520607,226400
2017-12-28,85.800003,85.870003,85.489998,85.610001,76.897873,193300
2017-12-29,85.739998,86.169998,85.570000,85.970001,77.221237,211700
2018-01-02,86.050003,86.260002,85.349998,85.629997,76.915833,1197000
2018-01-03,84.849998,85.489998,84.809998,85.279999,76.601448,884800
2018-01-04,85.519997,85.680000,85.220001,85.330002,76.646362,438100
2018-01-05,85.599998,85.790001,85.330002,85.720001,76.996681,231300
2018-01-08,85.790001,85.800003,85.370003,85.480003,76.781097,382300
2018-01-09,85.900002,86.000000,85.510002,85.889999,77.149376,765200
2018-01-10,85.239998,85.269997,84.760002,85.070000,76.412827,522000
2018-01-11,84.730003,84.860001,84.290001,84.519997,75.918793,627400
2018-01-12,84.849998,85.239998,84.629997,85.099998,76.439774,339600
2018-01-16,86.080002,86.269997,85.699997,86.199997,77.427826,603200
2018-01-17,86.040001,86.480003,85.989998,86.279999,77.499687,332200
2018-01-18,86.220001,86.430000,85.959999,86.250000,77.472748,341400
2018-01-19,85.720001,85.809998,85.379997,85.599998,76.888893,596600
2018-01-22,85.790001,85.910004,85.589996,85.800003,77.068535,324800
2018-01-23,86.680000,87.110001,86.379997,87.070000,78.209290,1099300
2018-01-24,87.550003,87.849998,86.870003,86.970001,78.119469,520000
2018-01-25,86.940002,87.510002,85.650002,86.050003,77.293098,566900
2018-01-26,86.580002,86.860001,86.430000,86.760002,77.930840,617800
2018-01-29,86.110001,86.220001,85.620003,85.680000,76.960739,257100
2018-01-30,86.279999,86.379997,85.809998,85.970001,77.221237,430100
2018-01-31,86.830002,87.000000,86.019997,86.400002,77.607475,382900
2018-02-01,86.540001,86.949997,86.290001,86.760002,77.930840,365400
2018-02-02,85.690002,85.690002,85.070000,85.279999,76.601448,526200
2018-02-05,84.040001,84.519997,79.889999,82.690002,74.275024,671900
2018-02-06,82.309998,83.120003,81.589996,82.900002,74.463661,725200
2018-02-07,82.830002,83.180000,82.209999,82.290001,73.915726,777400
2018-02-08,82.269997,82.279999,80.500000,81.379997,73.098335,543500
2018-02-09,81.589996,81.769997,80.000000,81.480003,73.188164,743800
2018-02-12,81.669998,82.459999,81.639999,82.279999,73.906746,333000
2018-02-13,81.820000,81.959999,81.480003,81.660004,73.349846,259900
2018-02-14,81.970001,83.400002,81.839996,83.250000,74.778038,321500
2018-02-15,81.510002,82.250000,81.279999,82.029999,73.682190,718000
2018-02-16,81.949997,82.000000,81.309998,81.339996,73.062408,596500
2018-02-20,80.099998,80.389999,79.839996,79.860001,71.733025,755400
2018-02-21,79.980003,80.470001,79.400002,79.410004,71.328819,1028600
2018-02-22,80.309998,80.970001,80.199997,80.580002,72.379745,692600
2018-02-23,80.900002,81.269997,80.820000,80.980003,72.739044,321900
2018-02-26,81.559998,81.809998,81.199997,81.730003,73.412720,349400
2018-02-27,81.209999,81.250000,80.570000,80.760002,72.541428,402500
2018-02-28,80.680000,80.680000,79.519997,79.529999,71.436600,409300
2018-03-01,78.910004,79.320000,78.000000,78.580002,70.583282,471600
2018-03-02,79.139999,79.230003,78.180000,78.940002,70.906647,468300
2018-03-05,79.150002,80.000000,79.110001,79.989998,71.849792,437700
2018-03-06,79.779999,79.910004,79.519997,79.650002,71.544395,334800
2018-03-07,79.029999,79.129997,78.529999,79.029999,70.987480,853600
2018-03-08,79.470001,79.889999,79.430000,79.730003,71.616257,718400
2018-03-09,80.220001,80.510002,80.010002,80.500000,72.307892,338900
2018-03-12,80.529999,80.750000,80.510002,80.690002,72.478561,311100
2018-03-13,80.980003,81.029999,80.230003,80.300003,72.128242,771300
2018-03-14,80.940002,81.019997,80.599998,80.720001,72.505501,247000
2018-03-15,80.360001,80.830002,80.309998,80.510002,72.316872,391400
2018-03-16,80.580002,80.760002,80.360001,80.599998,72.397720,479300
2018-03-19,79.709999,80.110001,79.519997,80.000000,71.858772,552100
2018-03-20,78.989998,79.540001,78.879997,79.500000,71.409660,442500
2018-03-21,78.959999,79.120003,78.279999,78.550003,70.556335,377600
2018-03-22,78.290001,78.500000,77.519997,77.610001,69.711990,651900
2018-03-23,78.330002,78.389999,77.070000,77.110001,69.262871,646800
2018-03-26,78.220001,78.410004,77.470001,78.169998,70.215004,327900
2018-03-27,77.910004,78.139999,77.070000,77.330002,69.460487,574200
2018-03-28,78.489998,79.620003,78.209999,78.930000,70.897659,369000
2018-03-29,79.190002,79.599998,78.919998,79.050003,71.005455,368300
2018-04-02,79.139999,79.250000,77.699997,78.180000,70.223984,502000
2018-04-03,78.309998,78.309998,77.330002,77.970001,70.035362,351400
2018-04-04,77.180000,78.250000,77.089996,78.169998,70.215004,379800
2018-04-05,78.089996,78.720001,77.940002,78.510002,70.520401,294700
2018-04-06,79.199997,79.440002,78.750000,79.050003,71.005455,724400
2018-04-09,79.599998,80.000000,79.320000,79.510002,71.418640,570800
2018-04-10,79.720001,80.330002,79.699997,80.300003,72.128242,511200
2018-04-11,80.000000,80.300003,79.699997,79.800003,71.679123,253900
2018-04-12,79.120003,79.339996,78.849998,78.889999,70.861732,327100
2018-04-13,79.489998,79.730003,79.160004,79.610001,71.508461,378400
2018-04-16,77.870003,77.900002,77.489998,77.500000,71.897163,677800
2018-04-17,77.709999,78.089996,77.570000,77.830002,72.203316,764900
2018-04-18,77.639999,77.800003,77.449997,77.510002,71.906448,652700
2018-04-19,77.620003,77.870003,77.190002,77.320000,71.730179,1214500
2018-04-20,76.760002,77.230003,76.690002,76.830002,71.275612,648000
2018-04-23,76.519997,76.709999,76.400002,76.620003,71.080788,453400
2018-04-24,77.339996,77.389999,76.410004,76.559998,71.025124,723600
2018-04-25,76.269997,76.500000,76.019997,76.440002,70.913803,301800
2018-04-26,77.349998,77.379997,77.010002,77.199997,71.618858,337300
2018-04-27,77.239998,77.599998,76.849998,77.519997,71.915726,227700
2018-04-30,77.709999,77.800003,77.279999,77.360001,71.767296,205800
2018-05-01,77.260002,77.489998,76.510002,76.769997,71.219940,449500
2018-05-02,76.430000,76.720001,76.019997,76.099998,70.598373,417600
2018-05-03,76.230003,76.290001,75.849998,76.050003,70.551994,409900
2018-05-04,75.839996,76.379997,75.800003,76.300003,70.783936,277400
2018-05-07,77.339996,77.440002,77.080002,77.349998,71.758011,478700
2018-05-08,76.660004,76.970001,76.290001,76.669998,71.127167,448500
2018-05-09,76.870003,77.260002,76.739998,77.089996,71.516808,291100
2018-05-10,77.129997,77.360001,77.019997,77.309998,71.720909,480000
2018-05-11,77.690002,77.849998,77.330002,77.410004,71.813675,553900
2018-05-14,77.750000,77.760002,77.089996,77.139999,71.563202,222100
2018-05-15,76.419998,76.989998,76.290001,76.550003,71.015854,306900
2018-05-16,76.889999,77.080002,76.680000,76.730003,71.182838,437600
2018-05-17,76.790001,77.000000,76.699997,76.949997,71.386932,283100
2018-05-18,77.300003,77.419998,77.000000,77.160004,71.581757,266900
